0.46	0.54	0.59	0.64	0.59	0.54	0.46
0.51	0.57	0.64	0.68	0.64	0.57	0.51
0.56	0.64	0.70	0.71	0.70	0.64	0.56
0.63	0.72	0.77	0.75	0.77	0.72	0.63
0.71	0.82	0.84	0.80	0.84	0.82	0.71
0.84	0.90	0.91	0.84	0.91	0.90	0.84
0.99	1.01	0.98	0.87	0.98	1.01	0.99
1.23	1.16	1.05	0.91	1.05	1.16	1.23
1.49	1.30	1.11	0.93	1.11	1.30	1.49
1.79	1.43	1.17	0.96	1.17	1.43	1.79
1.94	1.47	1.19	0.97	1.19	1.47	1.94
2.00	1.49	1.19	0.99	1.19	1.49	2.00
1.76	1.43	1.18	1.00	1.18	1.43	1.76
1.44	1.31	1.16	1.01	1.16	1.31	1.44
1.18	1.19	1.13	1.02	1.13	1.19	1.18
1.00	1.08	1.10	1.02	1.10	1.08	1.00
0.87	0.99	1.05	1.03	1.05	0.99	0.87
0.80	0.93	1.02	1.03	1.02	0.93	0.80
0.72	0.88	1.00	1.02	1.00	0.88	0.72
0.68	0.84	0.99	1.03	0.99	0.84	0.68
0.67	0.83	0.99	1.03	0.99	0.83	0.67
0.68	0.84	0.99	1.03	0.99	0.84	0.68
0.72	0.88	1.00	1.02	1.00	0.88	0.72
0.80	0.93	1.02	1.03	1.02	0.93	0.80
0.87	0.99	1.05	1.03	1.05	0.99	0.87
1.00	1.08	1.10	1.02	1.10	1.08	1.00
1.18	1.19	1.13	1.02	1.13	1.19	1.18
1.44	1.31	1.16	1.01	1.16	1.31	1.44
1.76	1.43	1.18	1.00	1.18	1.43	1.76
2.00	1.49	1.19	0.99	1.19	1.49	2.00
1.94	1.47	1.19	0.97	1.19	1.47	1.94
1.79	1.43	1.17	0.96	1.17	1.43	1.79
1.49	1.30	1.11	0.93	1.11	1.30	1.49
1.23	1.16	1.05	0.91	1.05	1.16	1.23
0.99	1.01	0.98	0.87	0.98	1.01	0.99
0.84	0.90	0.91	0.84	0.91	0.90	0.84
0.71	0.82	0.84	0.80	0.84	0.82	0.71
0.63	0.72	0.77	0.75	0.77	0.72	0.63
0.56	0.64	0.70	0.71	0.70	0.64	0.56
0.51	0.57	0.64	0.68	0.64	0.57	0.51
0.46	0.54	0.59	0.64	0.59	0.54	0.46
