#r (z=0)	Bobina #1	Bobina #2
#(cm)	(mT)	(mT)
0.0	0.00	0.00
2.0	0.03	-0.02
4.0	0.06	-0.05
6.0	0.09	-0.08
8.0	0.13	-0.12
10.0	0.17	-0.17
12.0	0.21	-0.21
14.0	0.26	-0.28
16.0	0.31	-0.35
18.0	0.33	-0.37
20.0	0.32	-0.39
22.0	0.31	-0.36
24.0	0.26	-0.31
26.0	0.20	-0.27
28.0	0.15	-0.21
30.0	0.12	-0.15
32.0	0.08	-0.12
34.0	0.05	-0.11
36.0	0.04	-0.09
38.0	0.03	-0.07
40.0	0.02	-0.06
