#r (z=0)	Bobina #1	Bobina #2
#(cm)	(mT)	(mT)
0.00	0.00	0.00
2.00	0.03	-0.02
4.00	0.06	-0.05
6.00	0.09	-0.08
8.00	0.14	-0.13
10.00	0.18	-0.18
12.00	0.22	-0.22
14.00	0.27	-0.29
16.00	0.32	-0.36
18.00	0.34	-0.39
20.00	0.33	-0.41
22.00	0.32	-0.38
24.00	0.27	-0.32
26.00	0.21	-0.28
28.00	0.16	-0.22
30.00	0.12	-0.16
32.00	0.08	-0.13
34.00	0.05	-0.11
36.00	0.04	-0.09
38.00	0.03	-0.07
40.00	0.02	-0.06
